structName,structType,K,N,Dim,avgRuntime
KD,2,30,40000,3,702
KD,2,40,40000,3,1094
KD,2,50,40000,3,1547
KD,2,60,40000,3,2037
KD,2,70,40000,3,2576
KD,2,80,40000,3,3178
KD,2,90,40000,3,3817
KD,2,100,40000,3,4523
KD,2,10,50000,3,207
KD,2,20,50000,3,526
KD,2,30,50000,3,948
KD,2,40,50000,3,1454
KD,2,50,50000,3,2034
KD,2,60,50000,3,2699
KD,2,70,50000,3,3410
KD,2,80,50000,3,4191
KD,2,90,50000,3,5027
KD,2,100,50000,3,5913
KD,2,10,60000,3,227
KD,2,20,60000,3,578
KD,2,30,60000,3,1020
KD,2,40,60000,3,1579
KD,2,50,60000,3,2210
KD,2,60,60000,3,2892
KD,2,70,60000,3,3658
KD,2,80,60000,3,4480
KD,2,90,60000,3,5377
KD,2,100,60000,3,6341
KD,2,10,70000,3,182
KD,2,20,70000,3,476
KD,2,30,70000,3,827
KD,2,40,70000,3,1270
KD,2,50,70000,3,1774
KD,2,60,70000,3,2325
KD,2,70,70000,3,2936
KD,2,80,70000,3,3611
KD,2,90,70000,3,4346
KD,2,100,70000,3,5151
KD,2,10,80000,3,228
KD,2,20,80000,3,592
KD,2,30,80000,3,1041
KD,2,40,80000,3,1583
KD,2,50,80000,3,2191
KD,2,60,80000,3,2882
KD,2,70,80000,3,3664
KD,2,80,80000,3,4525
KD,2,90,80000,3,5442
KD,2,100,80000,3,6414
KD,2,10,90000,3,301
KD,2,20,90000,3,765
KD,2,30,90000,3,1358
KD,2,40,90000,3,2117
KD,2,50,90000,3,2972
KD,2,60,90000,3,3904
KD,2,70,90000,3,4940
KD,2,80,90000,3,6113
KD,2,90,90000,3,7370
KD,2,100,90000,3,8727
KD,2,10,100000,3,276
KD,2,20,100000,3,695
KD,2,30,100000,3,1265
KD,2,40,100000,3,1925
KD,2,50,100000,3,2688
KD,2,60,100000,3,3529
KD,2,70,100000,3,4478
KD,2,80,100000,3,5531
KD,2,90,100000,3,6670
KD,2,100,100000,3,7890
KD,2,10,110000,3,349
KD,2,20,110000,3,887
KD,2,30,110000,3,1542
KD,2,40,110000,3,2368
KD,2,50,110000,3,3325
KD,2,60,110000,3,4398
KD,2,70,110000,3,5600
KD,2,80,110000,3,6868
KD,2,90,110000,3,8193
KD,2,100,110000,3,9677
KD,2,10,120000,3,317
KD,2,20,120000,3,772
KD,2,30,120000,3,1335
KD,2,40,120000,3,2040
KD,2,50,120000,3,2837
KD,2,60,120000,3,3726
KD,2,70,120000,3,4714
KD,2,80,120000,3,5829
KD,2,90,120000,3,7009
KD,2,100,120000,3,8302
KD,2,10,130000,3,297
KD,2,20,130000,3,761
KD,2,30,130000,3,1371
KD,2,40,130000,3,2142
KD,2,50,130000,3,3006
KD,2,60,130000,3,3976
KD,2,70,130000,3,5088
KD,2,80,130000,3,6259
KD,2,90,130000,3,7560
KD,2,100,130000,3,8970
KD,2,10,140000,3,310
KD,2,20,140000,3,786
KD,2,30,140000,3,1388
KD,2,40,140000,3,2131
KD,2,50,140000,3,2982
KD,2,60,140000,3,3933
KD,2,70,140000,3,4991
KD,2,80,140000,3,6159
KD,2,90,140000,3,7409
KD,2,100,140000,3,8766
KD,2,10,150000,3,293
KD,2,20,150000,3,789
KD,2,30,150000,3,1409
KD,2,40,150000,3,2169
KD,2,50,150000,3,3033
KD,2,60,150000,3,3991
KD,2,70,150000,3,5060
KD,2,80,150000,3,6240
KD,2,90,150000,3,7502
KD,2,100,150000,3,8887
KD,2,10,160000,3,292
KD,2,20,160000,3,780
KD,2,30,160000,3,1406
KD,2,40,160000,3,2177
KD,2,50,160000,3,3069
KD,2,60,160000,3,4054
KD,2,70,160000,3,5148
KD,2,80,160000,3,6360
KD,2,90,160000,3,7643
KD,2,100,160000,3,9035
KD,2,10,170000,3,408
KD,2,20,170000,3,1050
KD,2,30,170000,3,1851
KD,2,40,170000,3,2849
KD,2,50,170000,3,4030
KD,2,60,170000,3,5311
KD,2,70,170000,3,6753
KD,2,80,170000,3,8377
KD,2,90,170000,3,10153
KD,2,100,170000,3,12052
KD,2,10,180000,3,412
KD,2,20,180000,3,1042
KD,2,30,180000,3,1869
KD,2,40,180000,3,2917
KD,2,50,180000,3,4171
KD,2,60,180000,3,5509
KD,2,70,180000,3,6995
KD,2,80,180000,3,8701
KD,2,90,180000,3,10547
KD,2,100,180000,3,12557
KD,2,10,190000,3,219
KD,2,20,190000,3,593
KD,2,30,190000,3,1034
KD,2,40,190000,3,1586
KD,2,50,190000,3,2222
KD,2,60,190000,3,2928
KD,2,70,190000,3,3697
KD,2,80,190000,3,4564
KD,2,90,190000,3,5480
KD,2,100,190000,3,6472
KD,2,10,200000,3,368
KD,2,20,200000,3,933
KD,2,30,200000,3,1671
KD,2,40,200000,3,2558
KD,2,50,200000,3,3573
KD,2,60,200000,3,4748
KD,2,70,200000,3,6070
KD,2,80,200000,3,7480
KD,2,90,200000,3,9058
KD,2,100,200000,3,10758
KD,2,10,10000,4,117
KD,2,20,10000,4,292
KD,2,30,10000,4,520
KD,2,40,10000,4,808
KD,2,50,10000,4,1114
KD,2,60,10000,4,1470
KD,2,70,10000,4,1852
KD,2,80,10000,4,2288
KD,2,90,10000,4,2734
KD,2,100,10000,4,3220
KD,2,10,20000,4,205
KD,2,20,20000,4,486
KD,2,30,20000,4,817
KD,2,40,20000,4,1236
KD,2,50,20000,4,1709
KD,2,60,20000,4,2240
KD,2,70,20000,4,2842
KD,2,80,20000,4,3512
KD,2,90,20000,4,4206
KD,2,100,20000,4,4926
KD,2,10,30000,4,161
KD,2,20,30000,4,385
KD,2,30,30000,4,656
KD,2,40,30000,4,1000
KD,2,50,30000,4,1389
KD,2,60,30000,4,1830
KD,2,70,30000,4,2302
KD,2,80,30000,4,2830
KD,2,90,30000,4,3393
KD,2,100,30000,4,3978
KD,2,10,40000,4,195
KD,2,20,40000,4,488
KD,2,30,40000,4,881
KD,2,40,40000,4,1336
KD,2,50,40000,4,1881
KD,2,60,40000,4,2486
KD,2,70,40000,4,3167
KD,2,80,40000,4,3895
KD,2,90,40000,4,4679
KD,2,100,40000,4,5516
KD,2,10,50000,4,216
KD,2,20,50000,4,543
KD,2,30,50000,4,944
KD,2,40,50000,4,1492
KD,2,50,50000,4,2048
KD,2,60,50000,4,2677
KD,2,70,50000,4,3402
KD,2,80,50000,4,4173
KD,2,90,50000,4,4987
KD,2,100,50000,4,5863
KD,2,10,60000,4,217
KD,2,20,60000,4,575
KD,2,30,60000,4,983
KD,2,40,60000,4,1515
KD,2,50,60000,4,2113
KD,2,60,60000,4,2772
KD,2,70,60000,4,5418
KD,2,80,60000,4,6234
KD,2,90,60000,4,7081
KD,2,100,60000,4,8005
KD,2,10,70000,4,291
KD,2,20,70000,4,726
KD,2,30,70000,4,1287
KD,2,40,70000,4,1983
KD,2,50,70000,4,2770
KD,2,60,70000,4,3637
KD,2,70,70000,4,4628
KD,2,80,70000,4,5686
KD,2,90,70000,4,6843
KD,2,100,70000,4,8050
KD,2,10,80000,4,261
KD,2,20,80000,4,644
KD,2,30,80000,4,1141
KD,2,40,80000,4,1738
KD,2,50,80000,4,2422
KD,2,60,80000,4,3192
KD,2,70,80000,4,4068
KD,2,80,80000,4,5009
KD,2,90,80000,4,6009
KD,2,100,80000,4,7114
KD,2,10,90000,4,326
KD,2,20,90000,4,771
KD,2,30,90000,4,1326
KD,2,40,90000,4,2008
KD,2,50,90000,4,2783
KD,2,60,90000,4,3641
KD,2,70,90000,4,4611
KD,2,80,90000,4,5631
KD,2,90,90000,4,6749
KD,2,100,90000,4,7941
KD,2,10,100000,4,222
KD,2,20,100000,4,556
KD,2,30,100000,4,976
KD,2,40,100000,4,1452
KD,2,50,100000,4,2013
KD,2,60,100000,4,2657
KD,2,70,100000,4,3367
KD,2,80,100000,4,4135
KD,2,90,100000,4,4961
KD,2,100,100000,4,5837
KD,2,10,110000,4,280
KD,2,20,110000,4,672
KD,2,30,110000,4,1195
KD,2,40,110000,4,1838
KD,2,50,110000,4,2587
KD,2,60,110000,4,3408
KD,2,70,110000,4,4330
KD,2,80,110000,4,5329
KD,2,90,110000,4,6405
KD,2,100,110000,4,7553
KD,2,10,120000,4,377
KD,2,20,120000,4,843
KD,2,30,120000,4,1404
KD,2,40,120000,4,2074
KD,2,50,120000,4,2856
KD,2,60,120000,4,3728
KD,2,70,120000,4,4708
KD,2,80,120000,4,5767
KD,2,90,120000,4,6919
KD,2,100,120000,4,8160
KD,2,10,130000,4,355
KD,2,20,130000,4,848
KD,2,30,130000,4,1491
KD,2,40,130000,4,2280
KD,2,50,130000,4,3177
KD,2,60,130000,4,4191
KD,2,70,130000,4,5307
KD,2,80,130000,4,6501
KD,2,90,130000,4,7813
KD,2,100,130000,4,9184
KD,2,10,140000,4,302
KD,2,20,140000,4,741
KD,2,30,140000,4,1276
KD,2,40,140000,4,1938
KD,2,50,140000,4,2695
KD,2,60,140000,4,3537
KD,2,70,140000,4,4504
KD,2,80,140000,4,5613
KD,2,90,140000,4,6734
KD,2,100,140000,4,7981
KD,2,10,150000,4,244
KD,2,20,150000,4,635
KD,2,30,150000,4,1091
KD,2,40,150000,4,1653
KD,2,50,150000,4,2300
KD,2,60,150000,4,3038
KD,2,70,150000,4,3863
KD,2,80,150000,4,4753
KD,2,90,150000,4,5697
KD,2,100,150000,4,6704
KD,2,10,160000,4,350
KD,2,20,160000,4,850
KD,2,30,160000,4,1466
KD,2,40,160000,4,2237
KD,2,50,160000,4,3096
KD,2,60,160000,4,4066
KD,2,70,160000,4,5171
KD,2,80,160000,4,6382
KD,2,90,160000,4,7668
KD,2,100,160000,4,9028
KD,2,10,170000,4,331
KD,2,20,170000,4,832
KD,2,30,170000,4,1439
KD,2,40,170000,4,2207
KD,2,50,170000,4,3093
KD,2,60,170000,4,4155
KD,2,70,170000,4,5357
KD,2,80,170000,4,6585
KD,2,90,170000,4,8007
KD,2,100,170000,4,9489
KD,2,10,180000,4,401
KD,2,20,180000,4,1079
KD,2,30,180000,4,1844
KD,2,40,180000,4,2850
KD,2,50,180000,4,3962
KD,2,60,180000,4,5235
KD,2,70,180000,4,6599
KD,2,80,180000,4,8055
KD,2,90,180000,4,9618
KD,2,100,180000,4,11249
KD,2,10,190000,4,311
KD,2,20,190000,4,783
KD,2,30,190000,4,1382
KD,2,40,190000,4,2093
KD,2,50,190000,4,2931
KD,2,60,190000,4,3862
KD,2,70,190000,4,4897
KD,2,80,190000,4,6021
KD,2,90,190000,4,7291
KD,2,100,190000,4,8664
KD,2,10,200000,4,345
KD,2,20,200000,4,877
KD,2,30,200000,4,1520
KD,2,40,200000,4,2307
KD,2,50,200000,4,3223
KD,2,60,200000,4,4231
KD,2,70,200000,4,5372
KD,2,80,200000,4,6605
KD,2,90,200000,4,7930
KD,2,100,200000,4,9378
KD,2,10,10000,5,149
KD,2,20,10000,5,359
KD,2,30,10000,5,618
KD,2,40,10000,5,928
KD,2,50,10000,5,1282
KD,2,60,10000,5,1670
KD,2,70,10000,5,2106
KD,2,80,10000,5,2594
KD,2,90,10000,5,3107
KD,2,100,10000,5,3640
KD,2,10,20000,5,200
KD,2,20,20000,5,487
KD,2,30,20000,5,853
KD,2,40,20000,5,1308
KD,2,50,20000,5,1839
KD,2,60,20000,5,2400
KD,2,70,20000,5,2994
KD,2,80,20000,5,3658
KD,2,90,20000,5,4365
KD,2,100,20000,5,5175
KD,2,10,30000,5,221
KD,2,20,30000,5,551
KD,2,30,30000,5,960
KD,2,40,30000,5,1457
KD,2,50,30000,5,2029
KD,2,60,30000,5,2671
KD,2,70,30000,5,3322
KD,2,80,30000,5,4066
KD,2,90,30000,5,4817
KD,2,100,30000,5,5617
KD,2,10,40000,5,247
KD,2,20,40000,5,615
KD,2,30,40000,5,1076
KD,2,40,40000,5,1600
KD,2,50,40000,5,2193
KD,2,60,40000,5,2887
KD,2,70,40000,5,3636
KD,2,80,40000,5,4460
KD,2,90,40000,5,5360
KD,2,100,40000,5,6325
KD,2,10,50000,5,216
KD,2,20,50000,5,527
KD,2,30,50000,5,915
KD,2,40,50000,5,1390
KD,2,50,50000,5,1905
KD,2,60,50000,5,2471
KD,2,70,50000,5,3151
KD,2,80,50000,5,3883
KD,2,90,50000,5,4689
KD,2,100,50000,5,5562
KD,2,10,60000,5,261
KD,2,20,60000,5,635
KD,2,30,60000,5,1086
KD,2,40,60000,5,1667
KD,2,50,60000,5,2326
KD,2,60,60000,5,3083
KD,2,70,60000,5,3928
KD,2,80,60000,5,4860
KD,2,90,60000,5,5860
KD,2,100,60000,5,6925
KD,2,10,70000,5,323
KD,2,20,70000,5,811
KD,2,30,70000,5,1406
KD,2,40,70000,5,2052
KD,2,50,70000,5,2817
KD,2,60,70000,5,3698
KD,2,70,70000,5,4698
KD,2,80,70000,5,5795
KD,2,90,70000,5,6974
KD,2,100,70000,5,8248
KD,2,10,80000,5,275
KD,2,20,80000,5,688
KD,2,30,80000,5,1196
KD,2,40,80000,5,1800
KD,2,50,80000,5,2486
KD,2,60,80000,5,3270
KD,2,70,80000,5,4173
KD,2,80,80000,5,5178
KD,2,90,80000,5,6272
KD,2,100,80000,5,7482
KD,2,10,90000,5,339
KD,2,20,90000,5,825
KD,2,30,90000,5,1461
KD,2,40,90000,5,2190
KD,2,50,90000,5,3094
KD,2,60,90000,5,4045
KD,2,70,90000,5,5123
KD,2,80,90000,5,6258
KD,2,90,90000,5,7476
KD,2,100,90000,5,8788
KD,2,10,100000,5,349
KD,2,20,100000,5,845
KD,2,30,100000,5,1489
KD,2,40,100000,5,2251
KD,2,50,100000,5,3104
KD,2,60,100000,5,4028
KD,2,70,100000,5,5063
KD,2,80,100000,5,6213
KD,2,90,100000,5,7479
KD,2,100,100000,5,8823
KD,2,10,110000,5,336
KD,2,20,110000,5,814
KD,2,30,110000,5,1423
KD,2,40,110000,5,2176
KD,2,50,110000,5,3012
KD,2,60,110000,5,3969
KD,2,70,110000,5,5000
KD,2,80,110000,5,6129
KD,2,90,110000,5,7303
KD,2,100,110000,5,8618
KD,2,10,120000,5,380
KD,2,20,120000,5,927
KD,2,30,120000,5,1606
KD,2,40,120000,5,2421
KD,2,50,120000,5,3369
KD,2,60,120000,5,4396
KD,2,70,120000,5,5565
KD,2,80,120000,5,6840
KD,2,90,120000,5,8237
KD,2,100,120000,5,9687
KD,2,10,130000,5,426
KD,2,20,130000,5,1051
KD,2,30,130000,5,1827
KD,2,40,130000,5,2753
KD,2,50,130000,5,3830
KD,2,60,130000,5,4998
KD,2,70,130000,5,6322
KD,2,80,130000,5,7742
KD,2,90,130000,5,9288
KD,2,100,130000,5,10918
KD,2,10,140000,5,392
KD,2,20,140000,5,860
KD,2,30,140000,5,1459
KD,2,40,140000,5,2180
KD,2,50,140000,5,3018
KD,2,60,140000,5,3936
KD,2,70,140000,5,4953
KD,2,80,140000,5,6103
