structName,structType,K,N,Dim,avgRuntime
Bucket,0,100,100000,4,192885
Bucket,0,10,110000,4,4013
Bucket,0,20,110000,4,11960
Bucket,0,30,110000,4,22266
Bucket,0,40,110000,4,37664
Bucket,0,50,110000,4,52349
Bucket,0,60,110000,4,70816
Bucket,0,70,110000,4,97116
Bucket,0,80,110000,4,120106
Bucket,0,90,110000,4,146563
Bucket,0,100,110000,4,172738
Bucket,0,10,120000,4,3160
Bucket,0,20,120000,4,9435
Bucket,0,30,120000,4,19094
Bucket,0,40,120000,4,33443
Bucket,0,50,120000,4,46168
Bucket,0,60,120000,4,64673
Bucket,0,70,120000,4,84260
Bucket,0,80,120000,4,108969
Bucket,0,90,120000,4,134647
Bucket,0,100,120000,4,160599
Bucket,0,10,130000,4,3283
Bucket,0,20,130000,4,9467
Bucket,0,30,130000,4,16929
Bucket,0,40,130000,4,28976
Bucket,0,50,130000,4,45172
Bucket,0,60,130000,4,59086
Bucket,0,70,130000,4,79108
Bucket,0,80,130000,4,103083
Bucket,0,90,130000,4,126056
Bucket,0,100,130000,4,153220
Bucket,0,10,140000,4,2964
Bucket,0,20,140000,4,9073
Bucket,0,30,140000,4,19054
Bucket,0,40,140000,4,29391
Bucket,0,50,140000,4,42046
Bucket,0,60,140000,4,57825
Bucket,0,70,140000,4,72855
Bucket,0,80,140000,4,93903
Bucket,0,90,140000,4,118111
Bucket,0,100,140000,4,139606
Bucket,0,10,150000,4,2617
Bucket,0,20,150000,4,10362
Bucket,0,30,150000,4,17571
Bucket,0,40,150000,4,24888
Bucket,0,50,150000,4,37370
Bucket,0,60,150000,4,52455
Bucket,0,70,150000,4,65734
Bucket,0,80,150000,4,85843
Bucket,0,90,150000,4,109115
Bucket,0,100,150000,4,130974
Bucket,0,10,160000,4,3409
Bucket,0,20,160000,4,11836
Bucket,0,30,160000,4,18543
Bucket,0,40,160000,4,28051
Bucket,0,50,160000,4,44023
Bucket,0,60,160000,4,58024
Bucket,0,70,160000,4,72057
Bucket,0,80,160000,4,92706
Bucket,0,90,160000,4,116511
Bucket,0,100,160000,4,140254
Bucket,0,10,170000,4,2543
Bucket,0,20,170000,4,7462
Bucket,0,30,170000,4,13621
Bucket,0,40,170000,4,21090
Bucket,0,50,170000,4,34208
Bucket,0,60,170000,4,46067
Bucket,0,70,170000,4,59493
Bucket,0,80,170000,4,76542
Bucket,0,90,170000,4,92977
Bucket,0,100,170000,4,115486
Bucket,0,10,180000,4,2640
Bucket,0,20,180000,4,6577
Bucket,0,30,180000,4,15454
Bucket,0,40,180000,4,22569
Bucket,0,50,180000,4,32785
Bucket,0,60,180000,4,45260
Bucket,0,70,180000,4,60996
Bucket,0,80,180000,4,73895
Bucket,0,90,180000,4,92375
Bucket,0,100,180000,4,111713
Bucket,0,10,190000,4,2227
Bucket,0,20,190000,4,5926
Bucket,0,30,190000,4,12653
Bucket,0,40,190000,4,19740
Bucket,0,50,190000,4,28838
Bucket,0,60,190000,4,43653
Bucket,0,70,190000,4,56090
Bucket,0,80,190000,4,71250
Bucket,0,90,190000,4,86330
Bucket,0,100,190000,4,106380
Bucket,0,10,200000,4,2236
Bucket,0,20,200000,4,5852
Bucket,0,30,200000,4,12053
Bucket,0,40,200000,4,19204
Bucket,0,50,200000,4,29443
Bucket,0,60,200000,4,41475
Bucket,0,70,200000,4,54130
Bucket,0,80,200000,4,70233
Bucket,0,90,200000,4,83597
Bucket,0,100,200000,4,101293
